;RingNR;Date;Time;Year;Zone;UTM_X;UTM_Y;Status;PosAccuracy;Exclude;TimeStamp;CaptureAge;Sex_fieldbased;Sex_dna;Area;sex;CollarNR;CollarFrequency;date
1;4105406;08.03.2016;04:05:00;2016;33;414955;7150593;1;1;NA;NA;ad;M;F;Lifjellet;F;200038;152449;08.03.2016
2;4105406;15.04.2016;NA;2016;33;414955;7150593;2;2;NA;NA;ad;M;F;Lifjellet;F;200038;152449;15.04.2016
3;4105406;07.05.2016;NA;2016;33;414987;7150316;4;1;NA;NA;ad;M;F;Lifjellet;F;200038;152449;07.05.2016
4;4105407;08.03.2016;22:10:00;2016;33;414379;7149270;1;1;NA;NA;juv;M;M;Lifjellet;M;200026;152144;08.03.2016
5;4105407;15.04.2016;NA;2016;33;414379;7149270;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;15.04.2016
6;4105407;18.05.2016;NA;2016;33;414434;7149005;2;3;NA;NA;juv;M;M;Lifjellet;M;200026;152144;18.05.2016
7;4105407;08.06.2016;NA;2016;33;414434;7149005;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;08.06.2016
8;4105407;20.07.2016;NA;2016;33;414521;7149579;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;20.07.2016
9;4105407;07.09.2016;NA;2016;33;413544;7148576;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;07.09.2016
10;4105407;14.11.2016;NA;2016;33;413918;7150216;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;14.11.2016
11;4105407;01.03.2017;NA;2017;33;413846;7149771;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;01.03.2017
12;4105407;12.04.2017;NA;2017;33;413460;7150039;2;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;12.04.2017
13;4105407;27.04.2017;NA;2017;33;413603;7149553;6;2;NA;NA;juv;M;M;Lifjellet;M;200026;152144;27.04.2017
14;4105407;06.05.2017;NA;2017;33;413603;7149553;4;1;NA;NA;juv;M;M;Lifjellet;M;200026;152144;06.05.2017
15;4105408;09.03.2016;01:00:00;2016;33;414084;7147202;1;1;NA;NA;juv;M;M;Lifjellet;M;200055;152964;09.03.2016
16;4105408;15.04.2016;NA;2016;33;414084;7147202;2;2;NA;NA;juv;M;M;Lifjellet;M;200055;152964;15.04.2016
17;4105408;18.05.2016;NA;2016;33;411512;7147829;2;3;NA;NA;juv;M;M;Lifjellet;M;200055;152964;18.05.2016
18;4105408;08.06.2016;NA;2016;33;411512;7147829;2;2;NA;NA;juv;M;M;Lifjellet;M;200055;152964;08.06.2016
19;4105408;20.07.2016;NA;2016;33;411507;7147544;2;2;NA;NA;juv;M;M;Lifjellet;M;200055;152964;20.07.2016
20;4105408;07.09.2016;NA;2016;33;412615;7147808;2;2;NA;NA;juv;M;M;Lifjellet;M;200055;152964;07.09.2016
21;4105408;14.11.2016;NA;2016;33;413106;7147681;2;2;NA;NA;juv;M;M;Lifjellet;M;200055;152964;14.11.2016
22;4105408;24.05.2017;NA;2017;33;413406;7142980;6;3;NA;NA;juv;M;M;Lifjellet;M;200055;152964;24.05.2017
23;4105408;09.08.2017;NA;2017;33;411782;7143846;5;1;NA;NA;juv;M;M;Lifjellet;M;200055;152964;09.08.2017
24;4105409;09.03.2016;02:10:00;2016;33;416140;7146286;1;1;NA;NA;juv;F;F;Lifjellet;F;208641;152346;09.03.2016
25;4105409;15.04.2016;NA;2016;33;416140;7146286;2;2;NA;NA;juv;F;F;Lifjellet;F;208641;152346;15.04.2016
26;4105409;18.05.2016;NA;2016;33;407474;7125489;2;3;NA;NA;juv;F;F;Lifjellet;F;208641;152346;18.05.2016
27;4105409;11.06.2016;NA;2016;33;418311;7143198;2;1;NA;NA;juv;F;F;Lifjellet;F;208641;152346;11.06.2016
28;4105409;20.07.2016;NA;2016;33;417040;7143564;2;2;NA;NA;juv;F;F;Lifjellet;F;208641;152346;20.07.2016
29;4105409;08.09.2016;NA;2016;33;418021;7143593;2;3;NA;NA;juv;F;F;Lifjellet;F;208641;152346;08.09.2016
30;4105409;14.11.2016;NA;2016;33;418442;7142084;2;2;NA;NA;juv;F;F;Lifjellet;F;208641;152346;14.11.2016
31;4105409;01.03.2017;NA;2017;33;415959;7143771;2;2;NA;NA;juv;F;F;Lifjellet;F;208641;152346;01.03.2017
32;4105409;12.04.2017;NA;2017;33;413315;7143155;2;2;NA;NA;juv;F;F;Lifjellet;F;208641;152346;12.04.2017
33;4105409;24.05.2017;NA;2017;33;411139;7143382;6;3;NA;NA;juv;F;F;Lifjellet;F;208641;152346;24.05.2017
34;4105409;09.08.2017;NA;2017;33;410303;7143962;5;1;NA;NA;juv;F;F;Lifjellet;F;208641;152346;09.08.2017
